Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count
Reachable,http://daringfireball.net/linked/2016/04/12/fleishman-textexpander,http://www.macworld.com/article/3052870/software/textexpander-6-review-a-snippets-subscription-service-thats-priced-too-high.html,Glenn Fleishman on TextExpander 6,,,
Reachable,http://daringfireball.net/linked/2016/04/12/smile-textexpander,https://smilesoftware.com/textexpander/entry/textexpander-adjustments,Smile Adjusts TextExpander Pricing,,,
Reachable,http://daringfireball.net/linked/2016/04/11/skateboard-doc-iphone,https://www.macstories.net/linked/sean-malto-skateboard-documentary-shot-on-iphone/,Sean Malto Skateboard Documentary Shot on iPhone,,,
Reachable,http://daringfireball.net/linked/2016/04/11/lytro-cinema-camera,http://techcrunch.com/2016/04/11/lytro-cinema-is-giving-filmmakers-400-gigabytes-per-second-of-creative-freedom/,Lytro’s 755 Megapixel Cinema Light Field Camera,,,
Reachable,http://daringfireball.net/linked/2016/04/11/finally-spacex,http://thenextweb.com/insider/2016/04/08/spacex-just-landed-reusable-rocket-drone-ship/,‘Finally’ of the Week,,,
Reachable,http://daringfireball.net/linked/2016/04/11/film-dialog,http://polygraph.cool/films/index.html,"The Largest Ever Analysis of Film Dialog by Gender: 2,000 Scripts, 25,000 Actors, 4 Million Lines",,,
Reachable,http://daringfireball.net/linked/2016/04/11/hill-kansas-mapping,http://fusion.net/story/287592/internet-mapping-glitch-kansas-farm/,Internet Mapping Turned a Remote Kansas Farm Into a Digital Hell,,,
Reachable,http://daringfireball.net/linked/2016/04/09/macminicolo-impossible-promo,https://macminicolo.net/impossible,Macminicolo’s Impossible Promo,,,
Reachable,http://daringfireball.net/linked/2016/04/08/mori-1996-mac-hardware,http://morrick.me/archives/7584,The Macs Apple Was Selling in 1996,,,
Reachable,http://daringfireball.net/linked/2016/04/08/snell-3d-touch,http://www.macworld.com/article/3053628/apple-phone/the-trouble-with-3d-touch.html,The Trouble With 3D Touch,,,
Reachable,http://daringfireball.net/linked/2016/04/08/springsteen,https://www.facebook.com/notes/bruce-springsteen/a-statement-from-bruce-springsteen-on-north-carolina/10153539447566824,Bruce Springsteen Cancels North Carolina Show Over North Carolina ‘Bathroom’ Law,,,
Redirected,http://daringfireball.net/linked/2016/04/08/feinstein-encryption-bill,http://www.wired.com/2016/04/senates-draft-encryption-bill-privacy-nightmare/,"The Senate’s Draft Encryption Bill Is ‘Ludicrous, Dangerous, Technically Illiterate’",,https://www.wired.com/2016/04/senates-draft-encryption-bill-privacy-nightmare/,
Reachable,http://daringfireball.net/linked/2016/04/08/talese-voyeur,http://www.newyorker.com/magazine/2016/04/11/gay-talese-the-voyeurs-motel?intcid=mod-most-popular,The Voyeur’s Motel,,,
Reachable,http://daringfireball.net/linked/2016/04/07/activity-app,https://david-smith.org/blog/2016/04/07/introducing-activity-plus-plus/,Activity++,,,
Reachable,http://daringfireball.net/linked/2016/04/07/david-smith-tesla-model-s,https://david-smith.org/blog/2016/04/04/a-nerds-review-of-the-tesla-model-s/,A Nerd’s Review of the Tesla Model S,,,
Reachable,http://daringfireball.net/linked/2016/04/07/its-a-tesla,https://stratechery.com/2016/its-a-tesla/,‘It’s a Tesla’,,,
Reachable,http://daringfireball.net/linked/2016/04/07/tsai-textexpander,http://mjtsai.com/blog/2016/04/06/textexpander-6-and-textexpander-com/,Michael Tsai on TextExpander 6 and Subscription Pricing,,,
Redirected,http://daringfireball.net/linked/2016/04/06/twitter-nfl,http://recode.net/2016/04/05/twitter-beats-amazon-verizon-for-global-nfl-streaming-deal/,"Twitter Beats Amazon, Verizon for Global NFL Streaming Deal",,http://www.recode.net/2016/4/5/11585872/twitter-beats-amazon-verizon-for-global-nfl-streaming-deal,
Reachable,http://daringfireball.net/linked/2016/04/06/iphone-se,http://www.macrumors.com/2016/04/06/iphone-se-availability-tightening/,iPhone SE Availability Tightening Online and at Apple Stores,,,
Reachable,http://daringfireball.net/linked/2016/04/05/macminicolo,https://macminicolo.net/blog/files/Some-changes-here-at-Macminicolo.html,Macminicolo Merges With MacStadium,,,
Reachable,http://daringfireball.net/linked/2016/04/05/loop-mag-rip,http://www.loopinsight.com/2016/04/05/the-loop-magazine-app-is-dead/?utm_source=loopinsight.com&utm_campaign=loopinsight.com&utm_medium=referral,The Loop Magazine App Is Dead,,,
Reachable,http://daringfireball.net/linked/2016/04/05/luoma-textexpander,http://rhymeswithdiploma.com/post/142315992434/textexpander-6-or-how-not-to-launch-your-saas,TJ Luoma on TextExpander 6’s Subscription Pricing,,,
Reachable,http://daringfireball.net/linked/2016/04/05/whatsapp-encryption,https://blog.whatsapp.com/10000618/end-to-end-encryption,WhatsApp Enables End-to-End Encryption,,,
Reachable,http://daringfireball.net/linked/2016/04/04/df-sponsorship-openings,http://daringfireball.net/feeds/sponsors/,Daring Fireball RSS Feed Sponsorship Openings,,,
Redirected,http://daringfireball.net/linked/2016/04/04/francois-jouaux,http://www.mercurynews.com/san-mateo-county-times/ci_29705797/woodside-apple-software-killed-crash-worked-hard-played,Longtime Apple Software Engineer Francois Jouaux Killed in Car Crash,,http://www.mercurynews.com/san-mateo-county,
Reachable,http://daringfireball.net/linked/2016/04/04/trump-sherman,http://nymag.com/daily/intelligencer/2016/04/inside-the-donald-trump-presidential-campaign.html,Inside the Unorthodox Donald Trump Campaign,,,
Redirected,http://daringfireball.net/linked/2016/04/04/nest-google,http://www.businessinsider.com/googles-nest-closing-smart-home-company-revolv-bricking-devices-2016-4?op=1,Nest to Shut Down Revolv Home Automation Hubs,,http://uk.businessinsider.com/googles-nest-closing-smart-home-company-revolv-bricking-devices-2016-4?op=1?r=US&IR=T,
Redirected,http://daringfireball.net/linked/2016/04/02/superman-richard-donner,http://www.hollywoodreporter.com/features/superman-director-richard-donner-tells-879894,‘Superman’ Director Richard Donner Tells the Inside Story of the 1978 Superhero Movie,,http://www.hollywoodreporter.com/features/superman-inside-story-director-richard-879894,
Server Problem,http://daringfireball.net/linked/2016/04/02/igloo,https://www.igloosoftware.com/campaigns/hello?utm_source=daring+fireball&utm_medium=referral&utm_campaign=blog,Igloo,http://web.archive.org/web/20160318131504/https://www.igloosoftware.com/campaigns/hello?utm_source%3Ddaring+fireball%26utm_medium%3Dreferral%26utm_campaign%3Dblog,,
Reachable,http://daringfireball.net/linked/2016/04/02/dillons-story,http://mashable.com/2016/04/02/apple-autism-dillan/#n.hiFkfELaqP,"‘I Can See the Wind, Feel the Flowers’",,,
Too Many Redirects,http://daringfireball.net/linked/2016/04/02/gasse-apple-40,http://www.mondaynote.com/2016/03/28/40-years-later-apple-3-0/,40 Years Later: Apple 3.0,,https://mondaynote.com/40-years-later-apple-3-0-ecd2917f04fb,5
Reachable,http://daringfireball.net/linked/2016/04/01/fbi-cellebrite,http://www.bloomberg.com/news/articles/2016-03-30/fbi-said-to-work-with-israel-s-cellebrite-to-crack-iphone,Bloomberg Identifies FBI’s iPhone-Cracking Partner: Cellebrite,,,
Reachable,http://daringfireball.net/linked/2016/04/01/better-to-be-a-pirate-than-to-join-the-navy,http://appleinsider.com/articles/16/04/01/apple-flies-original-mac-teams-pirate-flag-for-companys-40th-anniversary,Apple Flies Original Mac Team’s Pirate Flag for Company’s 40th Anniversary,,,
Reachable,http://daringfireball.net/linked/2016/04/01/gmail-mic-drop,http://techcrunch.com/2016/04/01/google-reverses-gmail-april-1-prank-after-users-mistakently-put-gifs-into-important-emails/,Google Takes Internet Jackass Day to New Low With Gmail ‘Mic Drop’ Button,,,
Redirected,http://daringfireball.net/linked/2016/04/01/tesla-model-3,https://m.youtube.com/watch?v=Q4VGQPk2Dl8&time_continue=3,Tesla Unveils Model 3,,https://www.youtube.com/watch?v=Q4VGQPk2Dl8&time_continue=3&app=desktop,
